Data,Saida_Estimada,Saida,Erro
2020-03-19,1,1,0
2020-03-20,1,2,1
2020-03-21,2,2,0
2020-03-22,2,4,2
2020-03-23,4,5,1
2020-03-24,5,5,0
2020-03-25,5,7,2
2020-03-26,7,13,6
2020-03-27,13,13,0
2020-03-28,13,17,4
2020-03-29,17,18,1
2020-03-30,18,21,3
2020-03-31,21,32,11
2020-04-01,33,40,7
2020-04-02,41,46,5
2020-04-03,48,50,2
2020-04-04,52,80,28
2020-04-05,83,86,3
2020-04-06,89,102,13
2020-04-07,106,138,32
2020-04-08,144,167,23
2020-04-09,174,168,-6
2020-04-10,175,170,-5
2020-04-11,177,217,40
2020-04-12,227,246,19
2020-04-13,257,270,13
2020-04-14,282,323,41
2020-04-15,337,384,47
2020-04-16,401,438,37
2020-04-17,458,557,99
2020-04-18,582,640,58
2020-04-19,669,685,16
2020-04-20,716,902,186
2020-04-21,943,1026,83
2020-04-22,1073,1195,122
2020-04-23,1250,1267,17
2020-04-24,1325,1446,121
2020-04-25,1512,1579,67
2020-04-26,1651,1867,216
2020-04-27,1953,2128,175
2020-04-28,2226,2262,36
2020-04-29,2366,2422,56
2020-04-30,2533,2876,343
2020-05-01,3008,3176,168
2020-05-02,3322,3460,138
2020-05-03,3619,3863,244
2020-05-04,4041,4125,84
2020-05-05,4315,4472,157
2020-05-06,4678,5017,339
2020-05-07,5248,5524,276
2020-05-08,5778,6141,363
2020-05-09,6424,6775,351
2020-05-10,7087,7256,169
2020-05-11,7590,7563,-27
2020-05-12,7911,8616,705
2020-05-13,9013,9618,605
2020-05-14,10061,10867,806
2020-05-15,11368,12109,741
2020-05-16,12667,13184,517
2020-05-17,13792,13864,72
2020-05-18,14503,14734,231
2020-05-19,15413,16295,882
2020-05-20,17046,18135,1089
2020-05-21,18971,19756,785
2020-05-22,20667,21469,802
2020-05-23,22459,22697,238
2020-05-24,23744,24125,381
2020-05-25,25237,26077,840
2020-05-26,27279,28600,1321
2020-05-27,29919,31033,1114
2020-05-28,32464,33699,1235
2020-05-29,35253,36486,1233
2020-05-30,38169,37296,-873
2020-05-31,39016,37961,-1055
2020-06-01,39712,38046,-1666
2020-06-02,39801,41207,1406
2020-06-03,42291.7,44774,2482.34
