Data,Saida_Estimada,Saida,Erro
2020-02-26,1,1,0
2020-02-27,1,1,0
2020-02-28,1,1,0
2020-02-29,1,2,1
2020-03-01,2,2,0
2020-03-02,2,2,0
2020-03-03,2,2,0
2020-03-04,2,3,1
2020-03-05,3,6,3
2020-03-06,6,10,4
2020-03-07,10,13,3
2020-03-08,13,16,3
2020-03-09,16,16,0
2020-03-10,16,19,3
2020-03-11,19,30,11
2020-03-12,31,42,11
2020-03-13,43,56,13
2020-03-14,58,65,7
2020-03-15,67,136,69
2020-03-16,141,152,11
2020-03-17,158,164,6
2020-03-18,170,240,70
2020-03-19,249,286,37
2020-03-20,297,396,99
2020-03-21,411,459,48
2020-03-22,477,631,154
2020-03-23,656,745,89
2020-03-24,774,810,36
2020-03-25,842,862,20
2020-03-26,896,1052,156
2020-03-27,1094,1223,129
2020-03-28,1272,1406,134
2020-03-29,1462,1451,-11
2020-03-30,1509,1517,8
2020-03-31,1577,2339,762
2020-04-01,2432,2981,549
2020-04-02,3100,3506,406
2020-04-03,3646,4048,402
2020-04-04,4210,4466,256
2020-04-05,4645,4620,-25
2020-04-06,4805,4866,61
2020-04-07,5061,5682,621
2020-04-08,5909,6708,799
2020-04-09,6977,7480,503
2020-04-10,7780,8216,436
2020-04-11,8545,8419,-126
2020-04-12,8756,8755,-1
2020-04-13,9106,8895,-211
2020-04-14,9251,9371,120
2020-04-15,9747,11043,1296
2020-04-16,11486,11568,82
2020-04-17,12032,12841,809
2020-04-18,13356,13894,538
2020-04-19,14451,14267,-184
2020-04-20,14839,14580,-259
2020-04-21,15165,15385,220
2020-04-22,16002,15914,-88
2020-04-23,16552,16740,188
2020-04-24,17411,17826,415
2020-04-25,18541,20004,1463
2020-04-26,20806,20715,-91
2020-04-27,21546,21696,150
2020-04-28,22566,24041,1475
2020-04-29,25005,26158,1153
2020-04-30,27207,28698,1491
2020-05-01,29849,30374,525
2020-05-02,31592,31174,-418
2020-05-03,32424,31772,-652
2020-05-04,33046,32187,-859
2020-05-05,33478,34053,575
2020-05-06,35419,37853,2434
2020-05-07,39371,39928,557
2020-05-08,41530,41830,300
2020-05-09,43508,44411,903
2020-05-10,46193,45444,-749
2020-05-11,47267,46131,-1136
2020-05-12,47982,47719,-263
2020-05-13,49633,51097,1464
2020-05-14,53147,54286,1139
2020-05-15,56464,58378,1914
2020-05-16,60720,61183,463
2020-05-17,63638,62345,-1293
2020-05-18,64846,63066,-1780
2020-05-19,65596,65995,399
2020-05-20,68643,69859,1216
2020-05-21,72662,73739,1077
2020-05-22,76697,76871,174
2020-05-23,79955,80558,603
2020-05-24,83790,82161,-1629
2020-05-25,85457,83625,-1832
2020-05-26,86980,86017,-963
2020-05-27,89468,89483,15
2020-05-28,93073,95865,2792
2020-05-29,99711,101556,1845
2020-05-30,105631,107142,1511
2020-05-31,111441,109698,-1743
2020-06-01,114099,111296,-2803
2020-06-02,115761,118295,2534
2020-06-03,123041,123483,442
2020-06-04,128437,129200,763
2020-06-05,134384,134565,181
2020-06-06,139964,140549,585
2020-06-07,145843,143073,-2769.75
