Data,Saida_Estimada,Saida,Erro
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,0,0,0
2020-03-07,0,0,0
2020-03-08,1,1,0
2020-03-09,0,0,0
2020-03-10,0,0,0
2020-03-11,0,0,0
2020-03-12,0,0,0
2020-03-13,0,1,1
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,3,3
2020-03-17,1,2,1
2020-03-18,2,8,6
2020-03-19,5,14,9
2020-03-20,11,6,-5
2020-03-21,8,3,-5
2020-03-22,3,45,42
2020-03-23,29,45,16
2020-03-24,43,2,-41
2020-03-25,16,3,-13
2020-03-26,2,20,18
2020-03-27,13,36,23
2020-03-28,29,16,-13
2020-03-29,22,26,4
2020-03-30,21,30,9
2020-03-31,27,14,-13
2020-04-01,18,39,21
2020-04-02,29,56,27
2020-04-03,48,27,-21
2020-04-04,35,33,-2
2020-04-05,29,68,39
2020-04-06,53,27,-26
2020-04-07,39,34,-5
2020-04-08,30,55,25
2020-04-09,45,41,-4
2020-04-10,44,43,-1
2020-04-11,40,52,12
2020-04-12,47,56,9
2020-04-13,52,9,-43
2020-04-14,24,69,45
2020-04-15,46,19,-27
2020-04-16,35,55,20
2020-04-17,40,63,23
2020-04-18,58,56,-2
2020-04-19,56,77,21
2020-04-20,67,35,-32
2020-04-21,47,41,-6
2020-04-22,37,53,16
2020-04-23,47,25,-22
2020-04-24,33,111,78
2020-04-25,77,62,-15
2020-04-26,76,67,-9
2020-04-27,62,38,-24
2020-04-28,46,63,17
2020-04-29,52,109,57
2020-04-30,89,69,-20
2020-05-01,79,108,29
2020-05-02,90,88,-2
2020-05-03,91,95,4
2020-05-04,89,229,140
2020-05-05,175,105,-70
2020-05-06,142,153,11
2020-05-07,131,165,34
2020-05-08,154,173,19
2020-05-09,163,180,17
2020-05-10,171,114,-57
2020-05-11,132,83,-49
2020-05-12,90,115,25
2020-05-13,100,298,198
2020-05-14,225,217,-8
2020-05-15,236,246,10
2020-05-16,227,278,51
2020-05-17,257,137,-120
2020-05-18,179,84,-95
2020-05-19,98,282,184
2020-05-20,205,309,104
2020-05-21,288,310,22
2020-05-22,298,399,101
2020-05-23,354,343,-11
2020-05-24,349,330,-19
2020-05-25,322,294,-28
2020-05-26,295,554,259
2020-05-27,446,495,49
2020-05-28,496,675,179
2020-05-29,589,546,-43
2020-05-30,569,398,-171
2020-05-31,433,834,401
2020-06-01,656,206,-450
2020-06-02,409,269,-140
2020-06-03,237,1071,834
2020-06-04,761,1024,263
2020-06-05,1002,961,-41
2020-06-06,947,944,-3
2020-06-07,915,764,-151
2020-06-08,796,180,-616
2020-06-09,369,219,-150
2020-06-10,197,1399,1202
2020-06-11,950,947,-3
2020-06-12,1064,1658,594
2020-06-13,1358,508,-850
2020-06-14,876,767,-109
2020-06-15,651,347,-304
2020-06-16,475,296,-179
2020-06-17,302,1323,1021
2020-06-18,928,1559,631
2020-06-19,1422,1146,-276
2020-06-20,1243,1253,10
2020-06-21,1171,336,-835
2020-06-22,632,1277,645
2020-06-23,913,979,66
2020-06-24,1043,1446,403
2020-06-25,1235,1426,191
2020-06-26,1380,6122,4742
2020-06-27,4317,2075,-2242
2020-06-28,3361,1775,-1586
2020-06-29,1811,1123,-688
2020-06-30,1301,1137,-164
2020-07-01,1090,2583,1493
2020-07-02,2001,3123,1122
2020-07-03,2826,2644,-182
2020-07-04,2708,2607,-101
2020-07-05,2524,2325,-199
2020-07-06,2334,1343,-991
2020-07-07,1624,1271,-353
2020-07-08,1248,3138,1890
2020-07-09,2394,2829,435
2020-07-10,2829,3222,393
2020-07-11,2971,3727,756
2020-07-12,3420,2038,-1382
2020-07-13,2531,971,-1560
2020-07-14,1294,1821,527
2020-07-15,1468,3367,1899
2020-07-16,2723,2460,-263
2020-07-17,2675,2801,126
2020-07-18,2583,3604,1021
2020-07-19,3201,2097,-1104
2020-07-20,2527,1160,-1367
2020-07-21,1432,1434,2
2020-07-22,1289,3175,1886
2020-07-23,2472,3827,1355
2020-07-24,3467,4244,777
2020-07-25,3948,3281,-667
2020-07-26,3485,2478,-1007
2020-07-27,3288.81,1147,-2141.81
2020-07-28,3234.49,2927,-307.492
2020-07-29,3134.41,2749,-385.412
2020-07-30,3053.39,4021,967.605
2020-07-31,2968.93,3691,722.073
2020-08-01,2888.71,2879,-9.71125
2020-08-02,2810,2816,6.00022
2020-08-03,2733.66,942,-1791.66
2020-08-04,2659.32,1985,-674.319
2020-08-05,2587.03,3933,1345.97
2020-08-06,2516.69,3167,650.312
2020-08-07,2448.27,4495,2046.73
2020-08-08,2381.7,3400,1018.3
2020-08-09,2316.95,3204,887.05
2020-08-10,2253.96,1148,-1105.96
2020-08-11,2192.68,1.22383e-307,-2192.68
